Node1,Effect,Node2,Type
Node0,-1,Node7,none
Node0,-1,Node16,none
Node0,1,Node29,none
Node0,-1,Node33,none
Node0,-1,Node34,none
Node0,1,Node52,none
Node0,-1,Node59,none
Node0,-1,Node60,none
Node0,-1,Node75,none
Node0,-1,Node90,none
Node0,1,Node94,none
Node0,-1,Node97,none
Node0,-1,Node106,none
Node0,1,Node120,none
Node0,-1,Node130,none
Node0,1,Node134,none
Node0,1,Node146,none
Node0,-1,Node165,none
Node0,1,Node168,none
Node0,1,Node191,none
Node0,-1,Node196,none
Node0,1,Node205,none
Node0,-1,Node214,none
Node0,-1,Node216,none
Node0,-1,Node237,none
Node0,-1,Node238,none
Node0,-1,Node239,none
Node0,1,Node255,none
Node0,-1,Node265,none
Node0,1,Node268,none
Node0,-1,Node272,none
Node0,1,Node297,none
Node0,1,Node308,none
Node0,-1,Node315,none
Node0,1,Node323,none
Node0,-1,Node334,none
Node0,-1,Node335,none
Node0,1,Node341,none
Node0,-1,Node347,none
Node0,1,Node349,none
Node0,1,Node364,none
Node0,-1,Node367,none
Node0,-1,Node371,none
Node0,1,Node373,none
Node0,1,Node377,none
Node0,-1,Node379,none
Node0,-1,Node415,none
Node0,1,Node422,target
Node0,-1,Node423,none
Node0,-1,Node427,none
Node0,-1,Node452,none
Node0,-1,Node532,none
Node0,1,Node550,none
Node0,1,Node565,none
Node0,1,Node571,none
Node0,1,Node584,none
Node0,-1,Node585,none
Node0,1,Node602,none
Node0,1,Node611,none
Node0,1,Node619,none
Node0,-1,Node632,none
Node0,-1,Node636,none
Node0,1,Node668,none
Node0,1,Node683,none
Node0,1,Node689,none
Node0,1,Node695,none
Node0,1,Node699,none
Node0,-1,Node700,none
Node0,-1,Node706,none
Node0,-1,Node711,none
Node0,-1,Node713,none
Node0,-1,Node722,none
Node0,-1,Node733,none
Node0,1,Node739,none
Node0,-1,Node742,none
Node0,1,Node745,none
Node0,-1,Node747,none
Node0,1,Node748,none
Node0,1,Node755,none
Node0,1,Node758,none
Node0,-1,Node770,none
Node0,-1,Node784,none
Node0,-1,Node804,none
Node0,1,Node829,none
Node0,-1,Node837,none
Node0,-1,Node838,none
Node0,1,Node860,none
Node0,1,Node864,none
Node0,1,Node891,none
Node0,-1,Node918,none
Node0,1,Node933,none
Node0,-1,Node939,none
Node0,1,Node941,none
Node0,1,Node958,none
Node0,-1,Node962,none
Node0,-1,Node963,none
Node0,1,Node974,none
Node0,1,Node977,none
Node0,-1,Node978,none
Node0,1,Node984,none
Node0,-1,Node991,none
Node1,1,Node7,none
Node1,1,Node8,none
Node1,1,Node13,none
Node1,-1,Node14,none
Node1,1,Node35,none
Node1,-1,Node38,target
Node1,1,Node42,none
Node1,-1,Node59,none
Node1,1,Node71,none
Node1,-1,Node80,none
